                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3821,                 5.4487,                 3.7815,                0.00663,                0.14154,                0.00474,                0.00135,                 2.7091,                 5.0544,                 3.3917,             0.00047363,             0.00047363,             0.00047363
                      2,                 2.6324,                 3.7585,                 2.6846,                0.43467,                 0.0996,                0.18079,                0.05236,                 2.3809,                 3.7118,                  3.148,             0.00093429,             0.00093429,             0.00093429
                      3,                 2.1819,                 2.6552,                 2.3116,                0.28333,                0.21765,                0.15402,                0.08644,                 2.0902,                 3.0652,                 2.5258,              0.0013792,              0.0013792,              0.0013792
                      4,                 1.8966,                 2.1517,                 2.0986,                0.56359,                0.46272,                0.46622,                0.26781,                 1.9023,                 2.3423,                 2.4168,              0.0013583,              0.0013583,              0.0013583
                      5,                 1.8124,                 1.9657,                 2.0245,                0.64075,                0.43329,                0.47946,                0.26082,                 1.8527,                 2.3649,                 2.4189,              0.0013583,              0.0013583,              0.0013583
                      6,                 1.7214,                 1.8539,                 1.9537,                0.40193,                0.33973,                0.32543,                0.19777,                 2.0309,                 2.9209,                 2.4766,              0.0013347,              0.0013347,              0.0013347
                      7,                 1.6762,                 1.7623,                 1.8988,                0.68197,                0.47734,                0.54522,                 0.3194,                 1.8558,                 2.4522,                 2.3133,              0.0013111,              0.0013111,              0.0013111
                      8,                 1.6193,                 1.6492,                 1.8412,                0.63252,                0.51384,                0.57658,                0.35318,                 1.6462,                 2.1649,                 2.1875,              0.0012875,              0.0012875,              0.0012875
                      9,                 1.5972,                 1.6283,                 1.8283,                0.53737,                0.61385,                0.58568,                0.36977,                 1.6737,                 1.9155,                 2.1846,               0.001264,               0.001264,               0.001264
                     10,                 1.5627,                 1.5564,                 1.7989,                0.58583,                0.58754,                0.56847,                 0.3277,                 1.7604,                 2.1343,                 2.1975,              0.0012404,              0.0012404,              0.0012404
                     11,                 1.5161,                 1.4718,                 1.7504,                0.65951,                0.62954,                0.69361,                0.43995,                 1.6512,                 1.7584,                 2.1499,              0.0012168,              0.0012168,              0.0012168
                     12,                 1.4703,                 1.4298,                 1.7126,                0.57441,                0.64521,                0.63882,                0.40499,                 1.6545,                 1.7902,                  2.107,              0.0011932,              0.0011932,              0.0011932
                     13,                  1.492,                 1.4028,                 1.7224,                0.59601,                0.59238,                0.61553,                0.40006,                 1.5006,                 1.7337,                 2.0602,              0.0011696,              0.0011696,              0.0011696
                     14,                 1.4721,                 1.3699,                 1.6986,                0.69312,                0.57705,                0.66379,                0.38539,                 1.7785,                 2.0756,                 2.2795,              0.0011461,              0.0011461,              0.0011461
                     15,                 1.4439,                 1.3242,                 1.6945,                0.65213,                0.58543,                0.66574,                0.40926,                 1.6771,                 1.7196,                 2.1646,              0.0011225,              0.0011225,              0.0011225
                     16,                 1.4541,                 1.2941,                 1.6758,                0.75788,                0.61394,                0.69507,                0.45909,                 1.5805,                 1.7123,                 2.0423,              0.0010989,              0.0010989,              0.0010989
                     17,                 1.4147,                 1.2792,                 1.6526,                0.03968,                0.67909,                0.03854,                0.02057,                 1.6583,                 16.707,                 2.2136,              0.0010753,              0.0010753,              0.0010753
                     18,                 1.4079,                  1.271,                 1.6454,                0.68808,                0.58674,                0.68092,                0.45028,                 1.5378,                 1.6876,                 2.0015,              0.0010517,              0.0010517,              0.0010517
                     19,                 1.4073,                 1.2466,                 1.6461,                0.68349,                0.64484,                0.68702,                0.43397,                 1.5076,                 1.6605,                  2.009,              0.0010282,              0.0010282,              0.0010282
                     20,                 1.3688,                 1.1856,                 1.6155,                0.71377,                0.56326,                0.67171,                0.44767,                 1.5073,                 1.7244,                  1.954,              0.0010046,              0.0010046,              0.0010046
                     21,                 1.3528,                 1.1895,                 1.6028,                0.67128,                0.61495,                0.67939,                0.46224,                 1.4942,                 1.5571,                 1.9591,             0.00098101,             0.00098101,             0.00098101
                     22,                 1.3738,                 1.1624,                 1.6164,                0.75453,                0.62513,                0.69896,                0.44914,                 1.4775,                 1.6914,                 1.9311,             0.00095743,             0.00095743,             0.00095743
                     23,                 1.3398,                 1.1502,                 1.5999,                0.58139,                0.52789,                 0.5931,                0.38632,                 1.5167,                 1.7726,                 1.9801,             0.00093385,             0.00093385,             0.00093385
